Brand,Model,Title,Price,Year,Kilometers
Ford,Territory,AED 1292/month | 2023 Ford Territory Trend | GCC Specs | Ref#280189,"85,000",2023,"67,080 km"
Bestune,T77,AED 927/month | 2023 Bestune T77 Luxury | GCC Specs | Ref#232531,"61,000",2023,"33,122 km"
Mitsubishi,Xpander Cross,AED 1138/month | 2024  Premium | GCC Specs | Ref#232461,"74,900",2024,"10,391 km"
MG,HS,AED 958/month |2023 MG HS Luxury 2.0L | Warranty | GCC Specs | Ref#239048,"63,000",2023,"16,135 km"
Volvo,XC40,AED 1412/month | 2020 Volvo XC40 T5 Momentum | GCC Specs | Ref#267103,"92,900",2020,"48,523 km"
Tesla,Model X,AED 2355/month | 2019 Tesla Model X Standard | GCC Specs | Ref#111196,"155,000",2019,"82,301 km"
Lamborghini,Urus,AED 14282/month | 2021 Lamborghini Urus Standard | GCC Specs | Ref#257147,"940,000",2021,"52,698 km"
Volkswagen,Golf,AED 1792/month | 2022 Volkswagen Golf Gti | GCC Specs | Ref#288717,"117,900",2022,"37,492 km"
Skoda,Superb,SUPERB LK 1.4 (Ref0742),"109,000",2023,"14,098 km"
Toyota,Land Cruiser,AED3791/month | 2023 Toyota Land Cruiser GXR 3.5L | GCC Specifications | Ref#250705,"249,500",2023,"61,181 km"
Chevrolet,Groove,AED758/month | 2023 Chevrolet Groove LT 1.5L | GCC Specifications | Ref#251305,"47,500",2023,"52,316 km"
BMW,X7,AED 3936/month | 2022 BMW X7 xDrive40i | GCC Specs | Ref#279428,"259,000",2022,"48,961 km"
Tesla,Model 3,AED 1366/month | 2021 Tesla Model 3 Standard Plus | GCC Specs | Ref#291339,"89,900",2021,"89,493 km"
Tesla,Model 3,"AED2,126/month | 2023 Tesla Model 3 Performance 75 kWh | Warranty | GCC Specifications | Ref#233948","123,000",2023,"62,821 km"
BMW,4-Series,"AED2,416/month | 2022 BMW 4-Series 420i 2.0L | Warranty | Service | GCC Specifications | Ref#248589","159,000",2022,"60,808 km"
Toyota,Crown,AED 2491/month | 2023 Toyota Crown Platinum | GCC Specs | Ref#260713,"163,900",2023,"41,529 km"
Rolls-Royce,Phantom,"AED21,391/month | 2020 Rolls-Royce Phantom  Extended Wheel Base 6.75L | GCC | Ref#253357","1,337,900",2020,"66,986 km"
MINI,Cooper,AED 1748/month | 2023 MINI Cooper Cooper S JCW 2.0L | Warranty | Service | GCC Specs | Ref#285237,"115,000",2023,"27,128 km"
Mercedes-Benz,G-Class,AED 7691/month | 2019 Mercedes-Benz G-Class G 63 Amg | GCC Specs | Ref#272214,"506,150",2019,"93,749 km"
Ferrari,F8 Tributo,"AED19,751/month | 2022 Ferrari F8 Tributo SPIDER 3.9L   | GCC Specifications | Ref#257155","1,300,000",2022,"8,521 km"
Tesla,Model 3,"AED2,423/month | 2024 Tesla Model 3 Long Range 78kwh | Warranty | GCC Specifications | Ref#286355","159,500",2024,"39,723 km"
Toyota,Land Cruiser,"AED3,335/month | 2021 Toyota Land Cruiser GXR 4.0L | Service | GCC Specifications | Ref#283229","219,500",2021,"43,853 km"
MINI,Cooper,AED 1184/month | 2021 MINI Cooper Cooper S | GCC Specs | Ref#271629,"77,900",2021,"68,846 km"
Mercedes-Benz,G-Class,"AED12,155/month | 2022 Mercedes-Benz G 63 AMG 55 Anniversary Edition 4.0L | Warranty | Ref#256594","760,000",2022,"41,209 km"
Jeep,Grand Cherokee,"AED1,595/month | 2019 Jeep Grand Cherokee Overland 5.7L | GCC Specifications | Ref#253687","105,000",2019,"68,950 km"
Hyundai,Santa Fe,"AED2,081/month | 2023 Hyundai Santa Fe Premium Plus 3.5L | Warranty | GCC Specs | Ref#275167","137,000",2023,"30,742 km"
Audi,Q7,AED 2811/month | 2022 Audi Q7 45 TFSI Quattro | GCC Specs | Ref#239242,"185,000",2022,"61,520 km"
Ferrari,296 GTB,AED 22031/month | 2024 Ferrari 296 GTB Standard | GCC Specs | Ref#293533,"1,450,000",2024,82 km
BMW,M8,AED 6670/month | 2023 BMW M8 M8 Gran Coupe | GCC Specs | Ref#261528,"439,000",2023,"24,510 km"
McLaren,720S,AED 10940/month | 2018 McLaren 720S Standard | GCC Specs | Ref#298544,"720,000",2018,"4,162 km"
MINI,Countryman,AED 1664/month | 2022 MINI Countryman Cooper | GCC Specs | Ref#302526,"109,500",2022,"20,057 km"
Peugeot,3008,AED 1596/month | 024 Peugeot 3008 GT Line 1.6L | Warranty | GCC Specifications | Ref#249480,"105,000",2024,"4,698 km"
Hyundai,Santa Fe,"AED1,443/month | 2022 Hyundai Santa Fe GL 2.5L | Warranty  | GCC Specifications | Ref#239950","82,000",2022,"59,387 km"
Cadillac,Escalade,AED 8129/month | 2023 Cadillac Escalade V | GCC Specs | Ref#276441,"535,000",2023,"12,476 km"
Nissan,Armada,NISSAN ARMADA SL 2024 MODEL,"160,000",2024,0 km
Chevrolet,Captiva,Chevrolet Captiva 2021 GCC,"37,000",2021,"91,000 km"
Mercedes-Benz,G-Class,Mercedes G63,"849,000",2025,10 km
Mercedes-Benz,C-Class,Mercedes-Benz C300/ 2017 / USA / Clean Condition,"56,000",2017,"80,000 km"
Audi,Q3,BIG DEAL - FSH - ACCIDENT FREE - AUDI Q3 S-LINE 2.0TC 2015 - 2 KEYS - GCC,"34,500",2015,"160,000 km"
Chevrolet,Groove,BIG DEAL  - ORIGINAL PAINT - CHEVROLET GROOVE 1.5L LT 2023 - GCC SPECS,"44,500",2023,"51,200 km"
Toyota,Fortuner,TOYOTA FORTUNER EXR 2023 MODEL FOR SALE,"98,000",2023,"51,000 km"
Dodge,Challenger,Dodge challenger SRT GCC first owner with service  history  no paint Accident,"105,000",2016,"98,000 km"
Mercedes-Benz,S-Class,Mercedes benz S400 full option  with full service history no paint  no accident 1 year  warranty,"105,000",2016,"85,000 km"
Nissan,Patrol,Nissan patrol Nismo gcc first owner no pint accident clean car,"129,000",2017,"118,000 km"
BMW,X5,2014 BMW X5 GCC SHOWROOM CONDITION SERVICE HISTORY,"54,500",2014,"160,000 km"
RAM,1500,( ТОЛЬКО НА ЭКСПОРТ ) “FINAL EDITION” 2024 RAM 1500TRX V8 6.2L SRT GCC BRAND NEW,"531,999",2024,0 km
Jeep,Wrangler Unlimited,2024 JEEP WRANGLER UNLIMITED SPORT S GCC 0Km  With 3 Yrs or 60K Km Warranty @Official Dealer,"184,999",2024,0 km
Jeep,Grand Cherokee,2025 JEEP GRAND CHEROKEE L LIMITED PLUS LUXURY GCC 0Km With 3Yrs or 60K Km Warranty @Official Dealer,"224,999",2025,0 km
Jeep,Wrangler,2025 JEEP WRANGLER UNLIMITED SPORT S I4 2.0T GCC 0Km With 3 Yrs Or 60K Km Warranty @Official Dealer,"194,999",2025,0 km
Jeep,Grand Wagoneer,( 5Yrs or 100K Km Wnty and 5Yrs Service ) 2023 JEEP GRAND WAGONEER SERIES II I6 3.0L TT 4X4 GCC 0Km,"299,999",2023,0 km
BMW,2-Series,Bmw M235 convertible with service  history  clean car,"74,000",2016,"125,000 km"
Jeep,Wrangler,2025 JEEP WRANGLER UNLIMITED SAHARA GCC 0Km With 3 Years or 60k Warranty @Official Dealer,"224,999",2025,0 km
Jeep,Grand Cherokee,2025 JEEP GRAND CHEROKEE LIMITED PLUS LUXURY GCC 0Km With 3 Yrs or 60K Km Warranty @Official Dealer,"214,999",2025,0 km
Jeep,Wrangler Unlimited,2025 JEEP WRANGLER UNLIMITED RUBICON XTREME 2.0L TURBO GCC 0km With 3 Years Or 60K KM Warranty,"254,999",2025,0 km
Jetour,X90,2024 BRAND NEW JETOUR X90 PLUS 2.0T | 254HP | 7 SEATER | WITH WARRANTY+SERVICE [ABU-DHABI SHOWROOM],"119,000",2024,12 km
Jetour,T1,BRAND NEW 2025 JETOUR T1 II GCC II 6 YEARS WARRANTY UNLIMITED KMS II 3 YEARS SERVICE CONTRACT,"120,000",2025,10 km
Jetour,X50,BRAND NEW 2025 JETOUR X50 II GCC II 5 YEARS WARRANTY UNLIMITED KMS II 2 YEARS SERVICE CONTRACT,"69,000",2025,10 km
Jetour,T2,2025 BRAND NEW JETOUR T2 / GCC / 6 YEARS WARRANTY UNLIMITED KMS / 3 YEARS SERVICE CONTRACT,"139,000",2025,10 km
Jetour,T2,2025 BRAND NEW JETOUR T2 / GCC / 6 YEARS WARRANTY UNLIMITED KMS / 3 YEARS SERVICE CONTRACT,"144,000",2025,20 km
Jetour,X70,2025 BRAND NEW JETOUR X70 PLUS COMFORT | 7 SEATER | WARRANTY + SERVICE [ABU-DHABI SHOWROOM],"89,000",2025,10 km
